品牌,品牌综合评分,品牌占有率,好评率,最低价,最高价,url
vivo,99.8,17.8,88,799,10999,http://detail.zol.com.cn/cell_phone_index/subcate57_1795_list_1.html
华为,99.7,17.7,89,949,19699,http://detail.zol.com.cn/cell_phone_index/subcate57_613_list_1.html
OPPO,95.8,11.8,98,899,12999,http://detail.zol.com.cn/cell_phone_index/subcate57_1673_list_1.html
荣耀,94.8,10.7,86,699,15999,http://detail.zol.com.cn/cell_phone_index/subcate57_50840_list_1.html
苹果,94.3,10.2,90,2850,13999,http://detail.zol.com.cn/cell_phone_index/subcate57_544_list_1.html
小米,90.9,7.5,87,1849,13999,http://detail.zol.com.cn/cell_phone_index/subcate57_34645_list_1.html
红米,90.9,7.2,89,579,4599,http://detail.zol.com.cn/cell_phone_index/subcate57_55731_list_1.html
iQOO,83.3,3.6,91,899,5999,http://detail.zol.com.cn/cell_phone_index/subcate57_55075_list_1.html
三星,81.2,3.1,85,1892,39999,http://detail.zol.com.cn/cell_phone_index/subcate57_98_list_1.html
一加,79.8,2.7,93,1580,5899,http://detail.zol.com.cn/cell_phone_index/subcate57_35579_list_1.html
真我,79.6,2.6,90,999,4799,http://detail.zol.com.cn/cell_phone_index/subcate57_55535_list_1.html
努比亚,71.1,1.3,81,799,7499,http://detail.zol.com.cn/cell_phone_index/subcate57_35005_list_1.html
魅族,70.2,1.2,86,2599,8999,http://detail.zol.com.cn/cell_phone_index/subcate57_1434_list_1.html
中兴,61.4,0.5,81,699,7698,http://detail.zol.com.cn/cell_phone_index/subcate57_642_list_1.html
Moto,60.3,0.5,89,899,12499,http://detail.zol.com.cn/cell_phone_index/subcate57_295_list_1.html
索尼移动,53.4,0.3,96.2,1640,10999,http://detail.zol.com.cn/cell_phone_index/subcate57_1069_list_1.html
谷歌,44.4,0.2,68.8,4099,8399,http://detail.zol.com.cn/cell_phone_index/subcate57_1922_list_1.html
ROG,43.9,0.1,84,3999,8499,http://detail.zol.com.cn/cell_phone_index/subcate57_41373_list_1.html
诺基亚,41.3,0.1,91.2,129,7599,http://detail.zol.com.cn/cell_phone_index/subcate57_297_list_1.html
WIKO,33.7,0.1,87.5,1399,2199,http://detail.zol.com.cn/cell_phone_index/subcate57_58554_list_1.html
麦芒,0,0.1,84,1399,2299,http://detail.zol.com.cn/cell_phone_index/subcate57_57729_list_1.html
Hi nova,0,0.1,89,1799,4199,http://detail.zol.com.cn/cell_phone_index/subcate57_57933_list_1.html
黑鲨,0,0.1,83,2499,5499,http://detail.zol.com.cn/cell_phone_index/subcate57_53765_list_1.html
天语,0,0.1,66.2,89,5988,http://detail.zol.com.cn/cell_phone_index/subcate57_32729_list_1.html
金立,0,0,63.8,399,1399,http://detail.zol.com.cn/cell_phone_index/subcate57_1632_list_1.html
多亲,0,0,86.2,299,1399,http://detail.zol.com.cn/cell_phone_index/subcate57_55893_list_1.html
联想,0,0,88,799,5999,http://detail.zol.com.cn/cell_phone_index/subcate57_1763_list_1.html
鼎桥通信,0,0,92,3499,5488,http://detail.zol.com.cn/cell_phone_index/subcate57_57921_list_1.html
飞利浦,0,0,92.5,98,1299,http://detail.zol.com.cn/cell_phone_index/subcate57_159_list_1.html
VERTU,0,0,85,11079,2474000,http://detail.zol.com.cn/cell_phone_index/subcate57_41412_list_1.html
U-MAGIC,0,0,81,899,2499,http://detail.zol.com.cn/cell_phone_index/subcate57_57398_list_1.html
朵唯,0,0,50.0,185,1888,http://detail.zol.com.cn/cell_phone_index/subcate57_33855_list_1.html
酷派,0,0,95.0,599,3299,http://detail.zol.com.cn/cell_phone_index/subcate57_1606_list_1.html
华硕,0,0,87.5,5699,7599,http://detail.zol.com.cn/cell_phone_index/subcate57_227_list_1.html
柔宇,0,0,93.8,3399,12999,http://detail.zol.com.cn/cell_phone_index/subcate57_55532_list_1.html
NZONE,0,0,86,1699,2599,http://detail.zol.com.cn/cell_phone_index/subcate57_57658_list_1.html
小辣椒,0,0,66.2,299,2099,http://detail.zol.com.cn/cell_phone_index/subcate57_35320_list_1.html
克里特,0,0,98.8,2288,29999,http://detail.zol.com.cn/cell_phone_index/subcate57_53520_list_1.html
乐视,0,0,98,499,1599,http://detail.zol.com.cn/cell_phone_index/subcate57_33992_list_1.html
8848,0,0,66.2,4999,44999,http://detail.zol.com.cn/cell_phone_index/subcate57_49202_list_1.html
Unihertz,0,0,90,1438,2588,http://detail.zol.com.cn/cell_phone_index/subcate57_56901_list_1.html
海信,0,0,91.2,648,2399,http://detail.zol.com.cn/cell_phone_index/subcate57_19_list_1.html
传音,0,0,87.5,716,716,http://detail.zol.com.cn/cell_phone_index/subcate57_54920_list_1.html
索爱,0,0,88,119,799,http://detail.zol.com.cn/cell_phone_index/subcate57_32570_list_1.html
中国电信,0,0,91.2,999,1449,http://detail.zol.com.cn/cell_phone_index/subcate57_35416_list_1.html
AGM,0,0,84,89,13999,http://detail.zol.com.cn/cell_phone_index/subcate57_34660_list_1.html
纽曼,0,0,81.2,68,996,http://detail.zol.com.cn/cell_phone_index/subcate57_1081_list_1.html
LG,0,0,93.8,893,2699,http://detail.zol.com.cn/cell_phone_index/subcate57_143_list_1.html
蔚来,0,0,90.0,0,0,http://detail.zol.com.cn/cell_phone_index/subcate57_56254_list_1.html
夏普,0,0,92.5,0,0,http://detail.zol.com.cn/cell_phone_index/subcate57_300_list_1.html
